安徽电信-组播1,#genre#
固镇综合,http://124.112.241.231:4022/rtp/238.1.79.47:4488
太湖新闻综合,http://124.112.241.231:4022/rtp/238.1.79.12:4208
宁国新闻综合,http://124.112.241.231:4022/rtp/238.1.78.216:7600
安庆新闻综合,http://124.112.241.231:4022/rtp/238.1.78.117:6808
安庆经济生活,http://124.112.241.231:4022/rtp/238.1.78.118:6816
宣城综合,http://124.112.241.231:4022/rtp/238.1.78.142:7008
宿州新闻综合,http://124.112.241.231:4022/rtp/238.1.78.121:6840
宿州科教生活,http://124.112.241.231:4022/rtp/238.1.78.123:6856
寿县综合,http://124.112.241.231:4022/rtp/238.1.78.146:7040
屯溪融媒,http://124.112.241.231:4022/rtp/238.1.79.45:4472
岳西新闻综合,http://124.112.241.231:4022/rtp/238.1.79.70:4676
广德新闻综合,http://124.112.241.231:4022/rtp/238.1.78.212:7568
怀远综合,http://124.112.241.231:4022/rtp/238.1.78.201:7480
旌德综合,http://124.112.241.231:4022/rtp/238.1.78.215:7592
无为综合,http://124.112.241.231:4022/rtp/238.1.78.188:7376
明光综合,http://124.112.241.231:4022/rtp/238.1.78.208:7536
来安新闻综合,http://124.112.241.231:4022/rtp/238.1.78.204:7504
枞阳电视台,http://124.112.241.231:4022/rtp/238.1.78.210:7552
桐城综合,http://124.112.241.231:4022/rtp/238.1.78.28:6152
歙县综合,http://124.112.241.231:4022/rtp/238.1.78.200:7472
池州新闻综合,http://124.112.241.231:4022/rtp/238.1.78.147:7048
泗县新闻,http://124.112.241.231:4022/rtp/238.1.78.193:7416
涡阳新闻综合,http://124.112.241.231:4022/rtp/238.1.78.197:7448
淮北新闻综合,http://124.112.241.231:4022/rtp/238.1.78.135:6952
淮南新闻综合,http://124.112.241.231:4022/rtp/238.1.78.113:6776
湾沚综合,http://124.112.241.231:4022/rtp/238.1.78.187:7368
滁州新闻综合,http://124.112.241.231:4022/rtp/238.1.78.132:6928
滁州科教,http://124.112.241.231:4022/rtp/238.1.78.134:6944
潜山综合,http://124.112.241.231:4022/rtp/238.1.78.192:7408
濉溪综合,http://124.112.241.231:4022/rtp/238.1.78.209:7544
灵璧新闻综合,http://124.112.241.231:4022/rtp/238.1.79.68:4680
界首综合,http://124.112.241.231:4022/rtp/238.1.78.195:7432
祁门综合,http://124.112.241.231:4022/rtp/238.1.79.14:4224
繁昌新闻综合,http://124.112.241.231:4022/rtp/238.1.78.190:7392
绩溪新闻综合,http://124.112.241.231:4022/rtp/238.1.78.218:7616
肥东新闻综合,http://124.112.241.231:4022/rtp/238.1.78.183:7336
肥东经济生活,http://124.112.241.231:4022/rtp/238.1.78.184:7344
肥西新闻综合,http://124.112.241.231:4022/rtp/238.1.78.185:7352
芜湖新闻综合,http://124.112.241.231:4022/rtp/238.1.78.112:6768
芜湖生活,http://124.112.241.231:4022/rtp/238.1.78.152:7088
芜湖生活,http://124.112.241.231:4022/rtp/238.1.78.80:6512
萧县新闻综合,http://124.112.241.231:4022/rtp/238.1.79.46:4480
蒙城新闻,http://124.112.241.231:4022/rtp/238.1.79.19:4264
蚌埠新闻,http://124.112.241.231:4022/rtp/238.1.78.180:7312
蚌埠生活,http://124.112.241.231:4022/rtp/238.1.78.181:7320
郎溪新闻综合,http://124.112.241.231:4022/rtp/238.1.78.214:7584
金寨综合,http://124.112.241.231:4022/rtp/238.1.79.21:4280
铜陵教育科技,http://124.112.241.231:4022/rtp/238.1.78.141:7000
铜陵新闻综合,http://124.112.241.231:4022/rtp/238.1.78.139:6984
阜南新闻综合,http://124.112.241.231:4022/rtp/238.1.79.11:4200
阜阳教育,http://124.112.241.231:4022/rtp/238.1.78.126:6880
阜阳新闻综合,http://124.112.241.231:4022/rtp/238.1.78.124:6864
阜阳生活,http://124.112.241.231:4022/rtp/238.1.78.125:6872
阜阳都市文艺,http://124.112.241.231:4022/rtp/238.1.78.127:6888
霍山综合,http://124.112.241.231:4022/rtp/238.1.78.220:7632
霍邱新闻综合,http://124.112.241.231:4022/rtp/238.1.78.119:6824
颍上新闻综合,http://124.112.241.231:4022/rtp/238.1.78.194:7424
马鞍山新闻综合,http://124.112.241.231:4022/rtp/238.1.79.15:4232
马鞍山科教生活,http://124.112.241.231:4022/rtp/238.1.78.77:6488
黄山文旅,http://124.112.241.231:4022/rtp/238.1.78.131:6920
黄山新闻综合,http://124.112.241.231:4022/rtp/238.1.78.130:6912
黟县综合,http://124.112.241.231:4022/rtp/238.1.78.149:7064
东方财经,http://124.112.241.231:4022/rtp/238.1.78.73:6456
乐游,http://124.112.241.231:4022/rtp/238.1.78.151:7080
动漫秀场,http://124.112.241.231:4022/rtp/238.1.78.154:7104
生活时尚,http://124.112.241.231:4022/rtp/238.1.78.155:7112
快乐垂钓,http://124.112.241.231:4022/rtp/238.1.79.31:4360
文物宝库,http://124.112.241.231:4022/rtp/238.1.79.16:4240
梨园频道,http://124.112.241.231:4022/rtp/238.1.79.10:4192
武术世界,http://124.112.241.231:4022/rtp/238.1.79.8:4176
